Metric,Validation,Test,Generalization Gap
Accuracy,0.982,0.9602850035836249,0.021714996416375087
Balanced Accuracy,0.9359,0.6663310386370702,0.26956896136292974
Macro F1,0.9319,0.692940091776205,0.23895990822379498
Weighted F1,0.9819,0.9594569626044788,0.022443037395521226
Scratch F1,0.8681,0.7148760330578512,0.1532239669421488
